"V1","V2","V3","V4"
"https://fiis.com.br/BARI11/","BARI11","22.09.2022","R$ 1,050"
"https://fiis.com.br/BCFF11/","BCFF11","15.09.2022","R$ 0,560"
"https://fiis.com.br/BCRI11/","BCRI11","15.09.2022","R$ 1,290"
"https://fiis.com.br/BRCO11/","BRCO11","14.09.2022","R$ 0,700"
"https://fiis.com.br/BTLG11/","BTLG11","23.09.2022","R$ 0,740"
"https://fiis.com.br/CPTS11/","CPTS11","20.09.2022","R$ 1,100"
"https://fiis.com.br/CVBI11/","CVBI11","16.09.2022","R$ 0,740"
"https://fiis.com.br/DEVA11/","DEVA11","15.09.2022","R$ 1,000"
"https://fiis.com.br/HABT11/","HABT11","12.09.2022","R$ 1,030"
"https://fiis.com.br/HCTR11/","HCTR11","15.09.2022","R$ 1,100"
"https://fiis.com.br/HGBS11/","HGBS11","15.09.2022","R$ 1,300"
"https://fiis.com.br/HGRE11/","HGRE11","15.09.2022","R$ 0,780"
"https://fiis.com.br/KNSC11/","KNSC11","14.09.2022","R$ 0,700"
"https://fiis.com.br/MALL11/","MALL11","15.09.2022","R$ 0,770"
"https://fiis.com.br/MCCI11/","MCCI11","20.09.2022","R$ 1,100"
"https://fiis.com.br/MXRF11/","MXRF11","15.09.2022","R$ 0,110"
"https://fiis.com.br/QAGR11/","QAGR11","09.09.2022","R$ 0,410"
"https://fiis.com.br/RBHG11/","RBHG11","15.09.2022","R$ 1,230"
"https://fiis.com.br/RECR11/","RECR11","15.09.2022","R$ 0,800"
"https://fiis.com.br/SDIL11/","SDIL11","15.09.2022","R$ 0,760"
"https://fiis.com.br/SPTW11/","SPTW11","08.09.2022","R$ 0,400"
"https://fiis.com.br/TORD11/","TORD11","15.09.2022","R$ 0,080"
"https://fiis.com.br/TRXF11/","TRXF11","15.09.2022","R$ 0,850"
"https://fiis.com.br/URPR11/","URPR11","15.09.2022","R$ 1,620"
"https://fiis.com.br/VGHF11/","VGHF11","08.09.2022","R$ 0,120"
"https://fiis.com.br/VGIP11/","VGIP11","20.09.2022","R$ 1,000"
"https://fiis.com.br/VISC11/","VISC11","15.09.2022","R$ 0,720"
"https://fiis.com.br/VSLH11/","VSLH11","15.09.2022","R$ 0,120"
"https://fiis.com.br/VTLT11/","VTLT11","09.09.2022","R$ 0,830"
"https://fiis.com.br/XPCI11/","XPCI11","15.09.2022","R$ 0,960"
"https://fiis.com.br/XPCM11/","XPCM11","15.09.2022","R$ 0,120"
"https://fiis.com.br/XPLG11/","XPLG11","15.09.2022","R$ 0,720"
"https://fiis.com.br/XPML11/","XPML11","23.09.2022","R$ 0,730"
