"","CODIGO","Setor"
"1","BARI11","Títulos e Val. Mob."
"2","BCFF11","Títulos e Val. Mob."
"3","BCRI11","Títulos e Val. Mob."
"4","BRCO11","Logística"
"5","BTLG11","Logística"
"6","CPTS11","Títulos e Val. Mob."
"7","CVBI11","Títulos e Val. Mob."
"8","DEVA11","Títulos e Val. Mob."
"9","HABT11","Títulos e Val. Mob."
"10","HCTR11","Outros"
"11","HGBS11","Shoppings"
"12","HGRE11","Lajes Corporativas"
"13","KNSC11","Títulos e Val. Mob."
"14","MALL11","Shoppings"
"15","MCCI11","Títulos e Val. Mob."
"16","MXRF11","Híbrido"
"17","QAGR11","Outros"
"18","RBHG11","Títulos e Val. Mob."
"19","RECR11","Títulos e Val. Mob."
"20","SDIL11","Logística"
"21","SPTW11","Lajes Corporativas"
"22","TORD11","Outros"
"23","TRXF11","Outros"
"24","URPR11","Outros"
"25","VGHF11","Títulos e Val. Mob."
"26","VGIP11","Outros"
"27","VISC11","Shoppings"
"28","VSLH11","Outros"
"29","VTLT11","Logística"
"30","XPCI11","Outros"
"31","XPCM11","Lajes Corporativas"
"32","XPLG11","Logística"
"33","XPML11","Shoppings"
